accuracy,precision,recall,f1,auc,best_threshold,opt_accuracy,opt_precision,opt_recall,opt_f1,actual_epochs,hidden_units,n_layers,learning_rate,dropout_rate,weight_positives,class_weight_value,n_epochs,batch_size,early_stopping_patience,seed
0.9603580562659847,0.5,0.25806451612903225,0.3404255319148936,0.7549503887290064,0.4616004296455425,0.9629156010230179,0.5555555555555556,0.3225806451612903,0.40816326530612246,10,50,1,0.0005,0.2,True,8.0,10,64,2,1
0.9603580562659847,0.5,0.3225806451612903,0.39215686274509803,0.7630256432283836,0.5458109559613319,0.9654731457800512,0.625,0.3225806451612903,0.425531914893617,10,50,1,0.0005,0.2,True,8.0,10,64,2,2
0.9616368286445013,0.5333333333333333,0.25806451612903225,0.34782608695652173,0.7563678536145355,0.40929108485499466,0.959079283887468,0.4782608695652174,0.3548387096774194,0.4074074074074074,10,50,1,0.0005,0.2,True,8.0,10,64,2,3
0.9680306905370843,0.7142857142857143,0.3225806451612903,0.4444444444444444,0.7857909883596066,0.34752953813104187,0.9731457800511509,0.7777777777777778,0.45161290322580644,0.5714285714285714,9,50,1,0.0005,0.3,True,3.0,10,64,2,1
0.9705882352941176,0.75,0.3870967741935484,0.5106382978723404,0.7933937545638073,0.30338345864661653,0.9718670076726342,0.6956521739130435,0.5161290322580645,0.5925925925925926,8,50,1,0.0005,0.3,True,3.0,10,64,2,2
0.9667519181585678,0.6923076923076923,0.2903225806451613,0.4090909090909091,0.7781023151926464,0.3156283566058002,0.9705882352941176,0.7,0.45161290322580644,0.5490196078431373,9,50,1,0.0005,0.3,True,3.0,10,64,2,3
0.969309462915601,0.7333333333333333,0.3548387096774194,0.4782608695652174,0.7890124994630815,0.30338345864661653,0.9641943734015346,0.5555555555555556,0.4838709677419355,0.5172413793103449,9,50,1,0.0005,0.3,True,5.0,10,64,2,1
0.969309462915601,0.7058823529411765,0.3870967741935484,0.5,0.782139942442335,0.4296992481203008,0.969309462915601,0.6842105263157895,0.41935483870967744,0.52,10,50,1,0.0005,0.3,True,5.0,10,64,2,2
0.9680306905370843,0.7142857142857143,0.3225806451612903,0.4444444444444444,0.778145268674026,0.31766917293233077,0.9629156010230179,0.5357142857142857,0.4838709677419355,0.5084745762711864,10,50,1,0.0005,0.3,True,5.0,10,64,2,3
0.9654731457800512,0.625,0.3225806451612903,0.425531914893617,0.766590782182896,0.4296992481203008,0.9629156010230179,0.5454545454545454,0.3870967741935484,0.4528301886792453,10,50,1,0.0005,0.3,True,8.0,10,64,2,1
0.9641943734015346,0.6,0.2903225806451613,0.391304347826087,0.7701129676560284,0.3087540279269603,0.9514066496163683,0.40540540540540543,0.4838709677419355,0.4411764705882353,10,50,1,0.0005,0.3,True,8.0,10,64,2,2
0.9616368286445013,0.5294117647058824,0.2903225806451613,0.375,0.7423220652033846,0.4289473684210527,0.9603580562659847,0.5,0.3548387096774194,0.41509433962264153,10,50,1,0.0005,0.3,True,8.0,10,64,2,3
0.969309462915601,0.7692307692307693,0.3225806451612903,0.45454545454545453,0.786005755766505,0.3339957035445757,0.9731457800511509,0.7777777777777778,0.45161290322580644,0.5714285714285714,9,50,1,0.0005,0.5,True,3.0,10,64,2,1
0.9680306905370843,0.7142857142857143,0.3225806451612903,0.4444444444444444,0.7754821528284868,0.3087540279269603,0.9705882352941176,0.7,0.45161290322580644,0.5490196078431373,10,50,1,0.0005,0.5,True,3.0,10,64,2,2
0.9680306905370843,0.7142857142857143,0.3225806451612903,0.4444444444444444,0.7778016408229886,0.36106337271750805,0.9705882352941176,0.75,0.3870967741935484,0.5106382978723404,10,50,1,0.0005,0.5,True,3.0,10,64,2,3
0.9718670076726342,0.8,0.3870967741935484,0.5217391304347826,0.7791331987457584,0.49350161117078406,0.9718670076726342,0.8,0.3870967741935484,0.5217391304347826,10,50,1,0.0005,0.5,True,5.0,10,64,2,1
